County of residence,Population,At least one dose,At least one dose percent,Fully vaccinated,Fully vaccinated percent,Additional Dose 1 Received Count,Additional Dose 1 Received Percent,Date
New Haven,854757,583002,68.21,544010,63.64,,,10/13/2021
New London,265206,176461,66.54,166286,62.7,,,10/13/2021
Tolland,150721,94236,62.52,89329,59.27,,,10/13/2021
Windham,116782,66932,57.31,62722,53.71,,,10/13/2021
Resident out of state,,89539,,67921,,,,10/13/2021
Address pending validation,,16341,,14889,,,,10/13/2021
Fairfield,943332,681037,72.19,625574,66.32,,,10/20/2021
Hartford,891720,616869,69.18,576648,64.67,,,10/20/2021
Litchfield,180333,127055,70.46,119620,66.33,,,10/20/2021
Middlesex,162436,122747,75.57,115613,71.17,,,10/20/2021
New Haven,854757,585835,68.54,547127,64.01,,,10/20/2021
New London,265206,177328,66.86,167110,63.01,,,10/20/2021
Tolland,150721,94718,62.84,89809,59.59,,,10/20/2021
Windham,116782,67279,57.61,63168,54.09,,,10/20/2021
Resident out of state,,91710,,69183,,,,10/20/2021
Address pending validation,,15949,,14521,,,,10/20/2021
Fairfield,943332,683827,72.49,628076,66.58,,,10/27/2021
Hartford,891720,619425,69.46,579239,64.96,,,10/27/2021
Litchfield,180333,127584,70.75,120067,66.58,,,10/27/2021
Middlesex,162436,122996,75.72,115920,71.36,,,10/27/2021
New Haven,854757,588533,68.85,549921,64.34,,,10/27/2021
New London,265206,178489,67.3,167986,63.34,,,10/27/2021
Tolland,150721,95373,63.28,90380,59.97,,,10/27/2021
Windham,116782,67698,57.97,63570,54.43,,,10/27/2021
Resident out of state,,94974,,70639,,,,10/27/2021
Address pending validation,,16930,,15293,,,,10/27/2021
Fairfield,943332,688498,72.99,630491,66.84,,,11/03/2021
Hartford,891720,623318,69.9,581660,65.23,,,11/03/2021
Litchfield,180333,128385,71.19,120447,66.79,,,11/03/2021
Middlesex,162436,123660,76.13,116284,71.59,,,11/03/2021
New Haven,854757,592246,69.29,552128,64.59,,,11/03/2021
New London,265206,179823,67.81,168696,63.61,,,11/03/2021
Tolland,150721,96114,63.77,90764,60.22,,,11/03/2021
Windham,116782,68163,58.37,63897,54.71,,,11/03/2021
Resident out of state,,98948,,71480,,,,11/03/2021
Address pending validation,,16394,,14757,,,,11/03/2021
Fairfield,943332,695411,73.72,631975,66.99,,,11/10/2021
Hartford,891720,628472,70.48,582824,65.36,,,11/10/2021
Litchfield,180333,129477,71.8,120637,66.9,,,11/10/2021
Middlesex,162436,124618,76.72,116383,71.65,,,11/10/2021
New Haven,854757,597837,69.94,553497,64.75,,,11/10/2021
New London,265206,181250,68.34,169133,63.77,,,11/10/2021
Tolland,150721,97088,64.42,91085,60.43,,,11/10/2021
Windham,116782,68682,58.81,64112,54.9,,,11/10/2021
Resident out of state,,103379,,72557,,,,11/10/2021
Address pending validation,,15968,,14296,,,,11/10/2021
Fairfield,943332,708291,75.08,634400,67.25,,,11/17/2021
Hartford,891720,638756,71.63,585376,65.65,,,11/17/2021
Litchfield,180333,131107,72.7,121080,67.14,,,11/17/2021
Middlesex,162436,126110,77.64,116901,71.97,,,11/17/2021
New Haven,854757,606375,70.94,555968,65.04,,,11/17/2021
New London,265206,183905,69.34,169876,64.05,,,11/17/2021
Tolland,150721,98753,65.52,91587,60.77,,,11/17/2021
Windham,116782,69488,59.5,64405,55.15,,,11/17/2021
Resident out of state,,108094,,73553,,,,11/17/2021
Address pending validation,,15752,,13984,,,,11/17/2021
Fairfield,943332,719905,76.32,636056,67.43,,,11/24/2021
Hartford,891720,648170,72.69,587378,65.87,,,11/24/2021
Litchfield,180333,132608,73.54,121360,67.3,,,11/24/2021
Middlesex,162436,127826,78.69,117191,72.15,,,11/24/2021
New Haven,854757,614858,71.93,557773,65.26,,,11/24/2021
New London,265206,186434,70.3,170479,64.28,,,11/24/2021
Tolland,150721,100135,66.44,91925,60.99,,,11/24/2021
Windham,116782,70487,60.36,64689,55.39,,,11/24/2021
Resident out of state,,113488,,74793,,,,11/24/2021
Address pending validation,,15471,,13642,,,,11/24/2021
Fairfield,943332,726315,76.99,639668,67.81,,,12/01/2021
Hartford,891720,652664,73.19,590518,66.22,,,12/01/2021
Litchfield,180333,133490,74.02,122012,67.66,,,12/01/2021
Middlesex,162436,128781,79.28,117658,72.43,,,12/01/2021
New Haven,854757,618778,72.39,560991,65.63,,,12/01/2021
New London,265206,188014,70.89,171244,64.57,,,12/01/2021
Tolland,150721,100798,66.88,92330,61.26,,,12/01/2021
Windham,116782,71067,60.85,64944,55.61,,,12/01/2021
Resident out of state,,117261,,75775,,,,12/01/2021
Address pending validation,,15308,,13445,,,,12/01/2021
Fairfield,943332,732797,77.68,649304,68.83,,,12/08/2021
Hartford,891720,658474,73.84,598649,67.13,,,12/08/2021
Litchfield,180333,134553,74.61,123304,68.38,,,12/08/2021
Middlesex,162436,129820,79.92,118836,73.16,,,12/08/2021
New Haven,854757,623918,72.99,567741,66.42,,,12/08/2021
New London,265206,189690,71.53,173157,65.29,,,12/08/2021
Tolland,150721,101632,67.43,93832,62.26,,,12/08/2021
Windham,116782,71623,61.33,65430,56.03,,,12/08/2021
Resident out of state,,121419,,77438,,,,12/08/2021
Address pending validation,,15025,,13148,,,,12/08/2021
Fairfield,943332,741128,78.56,656920,69.64,,,12/15/2021
Hartford,891720,664464,74.51,605517,67.9,,,12/15/2021
Litchfield,180333,135601,75.19,124230,68.89,,,12/15/2021
Middlesex,162436,130801,80.52,119980,73.86,,,12/15/2021
New Haven,854757,629912,73.69,572867,67.02,,,12/15/2021
New London,265206,191356,72.15,174764,65.9,,,12/15/2021
Tolland,150721,102639,68.1,94620,62.78,,,12/15/2021
Windham,116782,72301,61.91,65952,56.47,,,12/15/2021
Resident out of state,,125753,,78437,,,,12/15/2021
Address pending validation,,14748,,12831,,,,12/15/2021
Fairfield,943332,748321,79.33,660825,70.05,,,12/22/2021
Hartford,891720,670425,75.18,609251,68.32,,,12/22/2021
Litchfield,180333,136564,75.73,124836,69.23,,,12/22/2021
Middlesex,162436,131716,81.09,120442,74.15,,,12/22/2021
New Haven,854757,635248,74.32,575367,67.31,,,12/22/2021
New London,265206,192970,72.76,175735,66.26,,,12/22/2021
Tolland,150721,103369,68.58,95041,63.06,,,12/22/2021
Windham,116782,73112,62.61,66320,56.79,,,12/22/2021
Resident out of state,,131286,,79583,,,,12/22/2021
Address pending validation,,14645,,12618,,,,12/22/2021
Fairfield,943332,754253,79.96,663543,70.34,,,12/29/2021
Hartford,891720,674930,75.69,611417,68.57,,,12/29/2021
Litchfield,180333,137393,76.19,125309,69.49,,,12/29/2021
Middlesex,162436,132723,81.71,120860,74.4,,,12/29/2021
New Haven,854757,639296,74.79,577584,67.57,,,12/29/2021
New London,265206,194383,73.3,176401,66.51,,,12/29/2021
Tolland,150721,103916,68.95,95277,63.21,,,12/29/2021
Windham,116782,73630,63.05,66552,56.99,,,12/29/2021
Resident out of state,,136480,,80585,,,,12/29/2021
